"mes_trigo","precio_dolar_trigo_ton","precio_COP_trigo_ton","año_impo","impo_canti_miles_ton","fecha_ipc","ipc %","fecha_trm","trm"
"7/1/2015","$ 197"," $  540,008 ","","","2020-07","0","7/1/2014"," $  57,587 "
"8/1/2015","$ 180"," $  543,033 ","","","2020-08","-0.01","8/1/2014"," $  58,842 "
"9/1/2015","$ 173"," $  530,099 ","","","2020-09","0.32","9/1/2014"," $  59,212 "
"10/1/2015","$ 173"," $  507,646 ","","","2020-10","-0.06","10/1/2014"," $  63,506 "
"11/1/2015","$ 177"," $  527,273 ","","","2020-11","-0.15","11/1/2014"," $  63,861 "
"12/1/2015","$ 189"," $  615,197 ","","","2020-12","0.38","12/1/2014"," $  72,610 "
"1/1/2016","$ 193"," $  634,444 ","","","2021-01","0.41","1/1/2015"," $  74,315 "
"2/1/2016","$ 187"," $  627,465 ","","","2021-02","0.64","2/1/2015"," $  67,779 "
"3/1/2016","$ 191"," $  603,051 ","","","2021-03","0.51","3/1/2015"," $  80,146 "
"4/1/2016","$ 187"," $  561,929 ","","","2021-04","0.59","4/1/2015"," $  75,157 "
"5/1/2016","$ 172"," $  513,728 ","","","2021-05","1","5/1/2015"," $  75,564 "
"6/1/2016","$ 173"," $  518,394 ","","","2021-06","-0.05","6/1/2015"," $  76,874 "
"7/1/2016","$ 152"," $  449,536 ","","","2021-07","0.32","7/1/2015"," $  84,693 "
"8/1/2016","$ 149"," $  442,356 ","","","2021-08","0.45","8/1/2015"," $  93,390 "
"9/1/2016","$ 151"," $  440,107 ","","","2021-09","0.38","9/1/2015"," $  91,992 "
"10/1/2016","$ 152"," $  444,757 ","","","2021-10","0.01","10/1/2015"," $  90,814 "
"11/1/2016","$ 151"," $  466,635 ","","","2021-11","0.5","11/1/2015"," $  90,041 "
"12/1/2016","$ 142"," $  426,840 ","","","2021-12","0.73","12/1/2015"," $  100,570 "
"1/1/2017","$ 153"," $  451,001 ","","","2022-01","1.67","1/1/2016"," $  101,376 "
"2/1/2017","$ 155"," $  446,526 ","","","2022-02","1.63","2/1/2016"," $  97,294 "
"3/1/2017","$ 154"," $  454,738 ","","","2022-03","1","3/1/2016"," $  96,992 "
"4/1/2017","$ 166"," $  477,230 ","","","2022-04","1.25","4/1/2016"," $  89,932 "
"5/1/2017","$ 180"," $  527,714 ","","","2022-05","0.84","5/1/2016"," $  92,799 "
"6/1/2017","$ 190"," $  560,108 ","","","2022-06","0.51","6/1/2016"," $  89,786 "
"7/1/2017","$ 202"," $  615,606 ","","","2022-07","0.81","7/1/2016"," $  91,791 "
"8/1/2017","$ 171"," $  509,561 ","","","2022-08","1.02","8/1/2016"," $  91,536 "
"9/1/2017","$ 179"," $  520,998 ","","","2022-09","0.93","9/1/2016"," $  87,728 "
"10/1/2017","$ 176"," $  518,413 ","","","2022-10","0.72","10/1/2016"," $  90,811 "
"11/1/2017","$ 180"," $  541,906 ","","","2022-11","0.77","11/1/2016"," $  93,308 "
"12/1/2017","$ 184"," $  550,766 ","","","2022-12","1.26","12/1/2016"," $  93,306 "
"1/1/2018","$ 192"," $  551,567 ","","","","","1/1/2017"," $  91,183 "
"2/1/2018","$ 192"," $  549,675 ","","","","","2/1/2017"," $  80,628 "
"3/1/2018","$ 192"," $  548,004 ","","","","","3/1/2017"," $  91,211 "
"4/1/2018","$ 214"," $  591,501 ","","","","","4/1/2017"," $  86,335 "
"5/1/2018","$ 214"," $  611,114 ","","","","","5/1/2017"," $  90,632 "
"6/1/2018","$ 219"," $  634,383 ","","","","","6/1/2017"," $  88,713 "
"7/1/2018","$ 218"," $  629,517 ","","","","","7/1/2017"," $  94,134 "
"8/1/2018","$ 237"," $  700,323 ","","","","","8/1/2017"," $  92,169 "
"9/1/2018","$ 212"," $  645,432 ","","","","","9/1/2017"," $  87,513 "
"10/1/2018","$ 213"," $  658,178 ","","","","","10/1/2017"," $  91,566 "
"11/1/2018","$ 204"," $  650,924 ","","","","","11/1/2017"," $  90,404 "
"12/1/2018","$ 211"," $  677,842 ","","","","","12/1/2017"," $  92,745 "
"1/1/2019","$ 210"," $  664,280 ","","","","","1/1/2018"," $  88,926 "
"2/1/2019","$ 219"," $  681,884 ","","","","","2/1/2018"," $  80,087 "
"3/1/2019","$ 206"," $  643,069 ","","","","","3/1/2018"," $  88,286 "
"4/1/2019","$ 200"," $  629,805 ","","","","","4/1/2018"," $  82,989 "
"5/1/2019","$ 200"," $  659,328 ","","","","","5/1/2018"," $  88,717 "
"6/1/2019","$ 206"," $  671,743 ","","","","","6/1/2018"," $  86,691 "
"7/1/2019","$ 196"," $  628,339 ","","","","","7/1/2018"," $  89,445 "
"8/1/2019","$ 181"," $  618,591 ","","","","","8/1/2018"," $  91,719 "
"9/1/2019","$ 190"," $  644,306 ","","","","","9/1/2018"," $  91,013 "
"10/1/2019","$ 200"," $  686,292 ","","","","","10/1/2018"," $  95,630 "
"11/1/2019","$ 203"," $  689,771 ","","","","","11/1/2018"," $  95,821 "
"12/1/2019","$ 211"," $  715,417 ","","","","","12/1/2018"," $  99,775 "
"1/1/2020","$ 225"," $  744,712 ","","","","","1/1/2019"," $  98,121 "
"2/1/2020","$ 215"," $  734,202 ","","","","","2/1/2019"," $  87,243 "
"3/1/2020","$ 209"," $  809,103 ","","","","","3/1/2019"," $  96,989 "
"4/1/2020","$ 219"," $  873,017 ","","","","","4/1/2019"," $  94,673 "
"5/1/2020","$ 206"," $  794,921 ","","","","","5/1/2019"," $  102,439 "
"6/1/2020","$ 198"," $  733,802 ","","","","","6/1/2019"," $  97,816 "
"7/1/2020","$ 222"," $  813,297 ","","","","","7/1/2019"," $  99,405 "
"8/1/2020","$ 223"," $  844,746 ","","","","","8/1/2019"," $  105,733 "
"9/1/2020","$ 248"," $  930,546 ","","","","","9/1/2019"," $  101,984 "
"10/1/2020","$ 272"," $  1,043,972 ","","","","","10/1/2019"," $  106,433 "
"11/1/2020","$ 273"," $  1,008,062 ","","","","","11/1/2019"," $  102,044 "
"12/1/2020","$ 269"," $  930,732 ","","","","","12/1/2019"," $  104,720 "
"1/1/2021","$ 289"," $  1,011,414 ","","","","","1/1/2020"," $  102,647 "
"2/1/2021","$ 289"," $  1,028,635 ","","","","","2/1/2020"," $  98,921 "
"3/1/2021","$ 273"," $  987,911 ","","","","","3/1/2020"," $  120,189 "
"4/1/2021","$ 281"," $  1,025,988 ","","","","","4/1/2020"," $  119,322 "
"5/1/2021","$ 297"," $  1,112,839 ","","","","","5/1/2020"," $  119,604 "
"6/1/2021","$ 286"," $  1,054,536 ","","","","","6/1/2020"," $  111,048 "
"7/1/2021","$ 294"," $  1,127,498 ","","","","","7/1/2020"," $  113,394 "
"8/1/2021","$ 325"," $  1,262,561 ","","","","","8/1/2020"," $  117,274 "
"9/1/2021","$ 338"," $  1,291,789 ","","","","","9/1/2020"," $  112,506 "
"10/1/2021","$ 355"," $  1,337,683 ","","","","","10/1/2020"," $  118,847 "
"11/1/2021","$ 379"," $  1,477,139 ","","","","","11/1/2020"," $  110,569 "
"12/1/2021","$ 377"," $  1,489,725 ","","","","","12/1/2020"," $  107,450 "
"1/1/2022","$ 374"," $  1,497,400 ","","","","","1/1/2021"," $  108,231 "
"2/1/2022","$ 391"," $  1,538,076 ","","","","","2/1/2021"," $  99,526 "
"3/1/2022","$ 486"," $  1,901,569 ","","","","","3/1/2021"," $  111,996 "
"4/1/2022","$ 495"," $  1,964,934 ","","","","","4/1/2021"," $  109,523 "
"5/1/2022","$ 522"," $  2,071,543 ","","","","","5/1/2021"," $  115,806 "
"6/1/2022","$ 460"," $  1,735,651 ","","","","","6/1/2021"," $  110,551 "
"7/1/2022","$ 383"," $  1,587,838 ","","","","","7/1/2021"," $  118,712 "
"8/1/2022","$ 383"," $  1,625,620 ","","","","","8/1/2021"," $  120,317 "
"9/1/2022","$ 419"," $  1,855,311 ","","","","","9/1/2021"," $  114,646 "
"10/1/2022","$ 438"," $  2,010,427 ","","","","","10/1/2021"," $  116,975 "
"11/1/2022","$ 423"," $  2,070,599 ","","","","","11/1/2021"," $  117,087 "
"12/1/2022","$ 386"," $  1,842,520 ","","","","","12/1/2021"," $  122,857 "
"","","","","","","","1/1/2022"," $  123,988 "
"","","","","","","","2/1/2022"," $  110,203 "
"","","","","","","","3/1/2022"," $  118,022 "
"","","","","","","","4/1/2022"," $  113,789 "
"","","","","","","","5/1/2022"," $  124,591 "
"","","","","","","","6/1/2022"," $  117,923 "
"","","","","","","","7/1/2022"," $  135,402 "
"","","","","","","","8/1/2022"," $  133,997 "
"","","","","","","","9/1/2022"," $  133,010 "
"","","","","","","","10/1/2022"," $  146,067 "
"","","","","","","","11/1/2022"," $  147,800 "
"","","","","","","","12/1/2022"," $  148,443 "
"","","","","","","","1/1/2023"," $  146,171 "
