"mes_trigo","precio_dolar_trigo_ton","precio_COP_trigo_ton","año_impo","impo_canti_miles_ton","fecha_ipc","ipc %","fecha_trm","trm"
"4/1/1998","$ 130"," $  177,080 ","","","2003-04","1.15","4/1/1997"," $  31,807 "
"5/1/1998","$ 129"," $  178,771 ","","","2003-05","0.49","5/1/1997"," $  33,310 "
"6/1/1998","$ 121"," $  167,163 ","","","2003-06","-0.05","6/1/1997"," $  32,466 "
"7/1/1998","$ 119"," $  163,103 ","","","2003-07","-0.14","7/1/1997"," $  34,178 "
"8/1/1998","$ 108"," $  149,905 ","","","2003-08","0.31","8/1/1997"," $  35,142 "
"9/1/1998","$ 108"," $  164,110 ","","","2003-09","0.22","9/1/1997"," $  36,685 "
"10/1/1998","$ 127"," $  200,886 ","","","2003-10","0.06","10/1/1997"," $  39,143 "
"11/1/1998","$ 130"," $  203,561 ","","","2003-11","0.35","11/1/1997"," $  38,837 "
"12/1/1998","$ 126"," $  192,136 ","","","2003-12","0.61","12/1/1997"," $  40,163 "
"1/1/1999","$ 125"," $  196,678 ","","","2004-01","0.89","1/1/1998"," $  40,964 "
"2/1/1999","$ 117"," $  183,401 ","","","2004-02","1.2","2/1/1998"," $  37,696 "
"3/1/1999","$ 117"," $  181,864 ","","","2004-03","0.98","3/1/1998"," $  42,071 "
"4/1/1999","$ 114"," $  179,560 ","","","2004-04","0.46","4/1/1998"," $  40,798 "
"5/1/1999","$ 113"," $  184,962 ","","","2004-05","0.38","5/1/1998"," $  42,946 "
"6/1/1999","$ 111"," $  188,664 ","","","2004-06","0.6","6/1/1998"," $  41,535 "
"7/1/1999","$ 103"," $  187,044 ","","","2004-07","-0.03","7/1/1998"," $  42,522 "
"8/1/1999","$ 111"," $  208,547 ","","","2004-08","0.03","8/1/1998"," $  43,112 "
"9/1/1999","$ 113"," $  223,844 ","","","2004-09","0.3","9/1/1998"," $  45,704 "
"10/1/1999","$ 108"," $  213,871 ","","","2004-10","-0.01","10/1/1998"," $  49,228 "
"11/1/1999","$ 109"," $  211,795 ","","","2004-11","0.28","11/1/1998"," $  46,865 "
"12/1/1999","$ 102"," $  192,868 ","","","2004-12","0.3","12/1/1998"," $  47,135 "
"1/1/2000","$ 106"," $  203,666 ","","","2005-01","0.82","1/1/1999"," $  48,607 "
"2/1/2000","$ 108"," $  210,533 ","","","2005-02","1.02","2/1/1999"," $  43,872 "
"3/1/2000","$ 106"," $  206,761 ","","","2005-03","0.77","3/1/1999"," $  48,025 "
"4/1/2000","$ 105"," $  208,927 ","","","2005-04","0.44","4/1/1999"," $  47,119 "
"5/1/2000","$ 112"," $  230,468 ","","","2005-05","0.41","5/1/1999"," $  50,908 "
"6/1/2000","$ 114"," $  240,700 ","","","2005-06","0.4","6/1/1999"," $  50,748 "
"7/1/2000","$ 109"," $  235,534 ","","","2005-07","0.05","7/1/1999"," $  56,254 "
"8/1/2000","$ 108"," $  237,023 ","","","2005-08","0","8/1/1999"," $  58,249 "
"9/1/2000","$ 117"," $  260,095 ","","","2005-09","0.43","9/1/1999"," $  59,279 "
"10/1/2000","$ 128"," $  279,022 ","","","2005-10","0.23","10/1/1999"," $  61,335 "
"11/1/2000","$ 128"," $  272,868 ","","","2005-11","0.11","11/1/1999"," $  58,363 "
"12/1/2000","$ 128"," $  279,448 ","","","2005-12","0.07","12/1/1999"," $  58,512 "
"1/1/2001","$ 133"," $  297,748 ","","","2006-01","0.54","1/1/2000"," $  59,578 "
"2/1/2001","$ 128"," $  287,405 ","","","2006-02","0.66","2/1/2000"," $  56,546 "
"3/1/2001","$ 130"," $  296,600 ","","","2006-03","0.7","3/1/2000"," $  60,645 "
"4/1/2001","$ 130"," $  301,236 ","","","2006-04","0.45","4/1/2000"," $  59,639 "
"5/1/2001","$ 135"," $  316,186 ","","","2006-05","0.33","5/1/2000"," $  63,721 "
"6/1/2001","$ 127"," $  293,306 ","","","2006-06","0.3","6/1/2000"," $  63,592 "
"7/1/2001","$ 124"," $  285,214 ","","","2006-07","0.41","7/1/2000"," $  66,967 "
