jobUrl,jobId,companyName,jobTitle,logoUrl,companyUrl,location,workplaceType,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp
https://www.linkedin.com/jobs/view/3475688637/,3475688637,Addi,Business Analyst for Risk,https://media.licdn.com/dms/image/C4D0BAQFiyyWBPRnFGA/company-logo_100_100/0/1667925141858?e=1684972800&v=beta&t=P9Ou6ZNQV5yZYDoXRC5zhCl6_no1SMJVCI68Qr_TaDI,https://www.linkedin.com/company/18825883/,Colombia,En remoto,Tu perfil se ajusta a este empleo,,true,false,0,https://www.linkedin.com/jobs/view/3475688637/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3394921768/,3394921768,"QuantumBlack, AI by McKinsey",Principal Data Scientist - QuantumBlack,https://media.licdn.com/dms/image/C560BAQG12pQe_GvUbQ/company-logo_100_100/0/1651050740305?e=1684972800&v=beta&t=8MI3OYvEIWNlkLqy0BMHdRRENp18DUHaW0kM5ieK1uw,https://www.linkedin.com/company/900243/,"Bogotá, Distrito Capital, Colombia",,,,false,false,0,https://www.linkedin.com/jobs/view/3394921768/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3483466778/,3483466778,Bavaria - Colombia,Data Integration Lead,https://media.licdn.com/dms/image/D4E0BAQGYA6aeIp8TTw/company-logo_100_100/0/1666705547701?e=1684972800&v=beta&t=JdAzvFxklzHHqzjv42ztB4m0ZYzeoPWC_fqGKrgj77Q,https://www.linkedin.com/company/3073246/,"Bogotá, Distrito Capital, Colombia",Presencial,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3483466778/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3477543113/,3477543113,Organización Corona,Ingeniero Técnico de Procesos - Sogamoso,https://media.licdn.com/dms/image/C560BAQHJXsoZN_Kkjw/company-logo_100_100/0/1656703122163?e=1684972800&v=beta&t=nAf8oUj_csF7qgNiQY0wSB3epuVL8qxX3xZdC86TAwo,https://www.linkedin.com/company/120543/,"Sogamoso, Boyacá, Colombia",Presencial,En busca de personal,,false,false,0,https://www.linkedin.com/jobs/view/3477543113/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3438915660/,3438915660,Capgemini Engineering,Python Developer + QA,https://media.licdn.com/dms/image/C4E0BAQGf5YDRAgF5ow/company-logo_100_100/0/1675696304352?e=1684972800&v=beta&t=i-oo4b47EGEVntOIwLiq95Fxp0eqgXhC18fRtDFlphg,https://www.linkedin.com/company/72092703/,Colombia,En remoto,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3438915660/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3467739019/,3467739019,Turing,Remote Data Science NLP Analyst Jobs | Turing,https://media.licdn.com/dms/image/D4D0BAQGFJMkBlTYwMA/company-logo_100_100/0/1667236443972?e=1684972800&v=beta&t=ZBoP4eKDwYKTdZ34XGX962La7TlR9hFeThf27MWHKXs,https://www.linkedin.com/company/18846814/,Colombia,En remoto,En busca de personal,2023-01-11,false,false,0,https://www.linkedin.com/jobs/view/3467739019/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3455147102/,3455147102,Evertec,Sr. Business Analyst,https://media.licdn.com/dms/image/C560BAQH2s2QXrp5TYg/company-logo_100_100/0/1656676117391?e=1684972800&v=beta&t=is5nz1RD60sqg1NvDlBfKPUsLsulNrD58_JDeX5q3Fs,https://www.linkedin.com/company/110492/,"Bogotá, Distrito Capital, Colombia",En remoto,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3455147102/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3452440709/,3452440709,Tata Consultancy Services,Arquitecto,https://media.licdn.com/dms/image/C4D0BAQFPP1NRP4F5dQ/company-logo_100_100/0/1656657976685?e=1684972800&v=beta&t=24BwXKYTYDAcftk42hO04zrP8Cl_xTY_cJVlGZopLik,https://www.linkedin.com/company/1353/,Colombia,En remoto,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3452440709/,Data Science,Jobs,2023-02-17T01:33:15.676Z
https://www.linkedin.com/jobs/view/3481974853/,3481974853,Banco Davivienda,Ingeniero Bot - GCP,https://media.licdn.com/dms/image/C510BAQFgUrtsFZfqdg/company-logo_100_100/0/1519902501533?e=1684972800&v=beta&t=fWomEKSMHOVES_Ju0OhxV8jf3An_Z6NaSmEoTJWn5Hc,https://www.linkedin.com/company/597974/,"Bogotá, Distrito Capital, Colombia",Presencial,En busca de personal,,false,false,0,https://www.linkedin.com/jobs/view/3481974853/,Data Science,Jobs,2023-02-17T01:33:15.677Z
https://www.linkedin.com/jobs/view/3456822036/,3456822036,,Analista Precios de Transferencia,,,"Bogotá, Distrito Capital, Colombia",Presencial,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3456822036/,Data Science,Jobs,2023-02-17T01:33:15.677Z
https://www.linkedin.com/jobs/view/3483155030/,3483155030,Tonic3,Project Manager,https://media.licdn.com/dms/image/C4E0BAQEluD2WXgj8Uw/company-logo_100_100/0/1625605477472?e=1684972800&v=beta&t=HxGxaPye_oDMmevp-_rmpyrXdlSYwTwhvqXMyfGkxt0,https://www.linkedin.com/company/3800338/,Colombia,En remoto,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3483155030/,Data Science,Jobs,2023-02-17T01:33:15.677Z
https://www.linkedin.com/jobs/view/3486682538/,3486682538,MSD LATAM,Clinical Research Associate (Home Based),https://media.licdn.com/dms/image/C560BAQH4uK-dds2gjg/company-logo_100_100/0/1656786762544?e=1684972800&v=beta&t=yiGa8WB7rdKIrVnppmeK7ShBUUscTIgQlQf0f7Ro7f0,https://www.linkedin.com/company/14776950/,"Bogotá, Distrito Capital, Colombia",,,2023-02-16,false,false,1,https://www.linkedin.com/jobs/view/3486682538/,Data Science,Jobs,2023-02-17T01:33:15.677Z
https://www.linkedin.com/jobs/view/3469886189/,3469886189,RobinFood,BUSINESS INTELLIGENCE ANALYST,https://media.licdn.com/dms/image/C560BAQHgwWWPcvcNHA/company-logo_100_100/0/1663026724119?e=1684972800&v=beta&t=C24WeOyE-fti9f-5fUoDuYiTYNRBjD_olNymGbhBl8s,https://www.linkedin.com/company/71093993/,Colombia,En remoto,En busca de personal,,true,false,0,https://www.linkedin.com/jobs/view/3469886189/,Data Science,Jobs,2023-02-17T01:33:15.677Z
https://www.linkedin.com/jobs/view/3478629715/,3478629715,Scotiabank Colpatria,Gestor (Trader) Portafolio Terceros Fiduciaria,https://media.licdn.com/dms/image/C560BAQFIJCRCoOPtfQ/company-logo_100_100/0/1656682679582?e=1684972800&v=beta&t=JLWwHT42VwDIfGxe1uvAll5p9jVjXzwCEbcjfZt8kko,https://www.linkedin.com/company/11755816/,"Bogotá, Distrito Capital, Colombia",Híbrido,,,true,false,0,https://www.linkedin.com/jobs/view/3478629715/,Data Science,Jobs,2023-02-17T01:33:15.677Z
